URN,PoleID,PlateID,SiteLatitude,SiteLongitude,PoleLatitude,PoleLongitude,PaleoLatitude,Declination,Inclination,QSum,OldAge,YoungAge,MeanAge,Alpha95,AuthorYear
28,A1.028,101,46,-111,70,-152,59,334,73,6,85,70,77.5,9,Swenson & McWilliams (1989)
29,A1.029,101,37,-68,74,178,29,343,48,2,130,66,98,0,Irving et al. (1976b: 13.44)
30,A1.030,101,34,-94,74,-167,37,341,57,5,103,100,101.5,6,Globerman & Irving (1988)
31,A1.031,106,79,-104,69,180,69,285,79,3,114,105,109.5,8,Larochelle et al. (1965)
32,A1.032,106,80,-88,67,-157,69,273,79,6,142,86,114,7,Jackson & Halls (1988)
33,A1.033,101,43,-71,62,-151,41,322,60,4,130,119,124.5,3,Hurley & Shearer (1981)
34,A1.034,101,40,-68,71,171,29,341,48,3,146,100,123,18,Mayhew (1986)
35,A1.035,106,80,-92,65,-139,70,248,80,0,135,111,123,8,Wynne et al. (1988)
36,A1.036,101,46,-74,72,-169,42,336,61,6,138,123,130.5,2,Foster & Symons (1979)
37,A1.037,101,50,-56,67,-148,44,327,63,5,146,116,131,4,Lapointe (1979b)
38,A1.038,101,44,-73,64,-173,35,328,54,3,137,131,134,14,Opdyke & Wensink (1966)
39,A1.039,133,38,-108,68,162,35,333,54,5,150,146,148,4,Steiner & Helsley (1975)
40,A1.040,133,38,-108,61,142,24,330,42,5,151,148,149.5,5,Steiner & Helsley (1975)
41,A1.041,132,43,-111,64,170,42,324,61,0,156,151,153.5,15,Schwartz & Van der Voo (1984)
42,A1.042,134,32,-111,63,132,17,335,32,6,152,149,150.5,6,Kluth et al. (1982)
43,A1.043,101,44,-48,74,147,28,355,47,4,157,148,152.5,11,Mayhew (1986)
44,A1.044,101,43,-72,79,167,37,348,56,0,170,142,156,0,Van Alstine (1979)
45,A1.045,108,44,-68,69,98,23,5,41,4,165,159,162,11,Mayhew (1986)
46,A1.046,133,39,-111,67,110,20,344,37,5,167,156,161.5,4,Steiner (1978)
47,A1.047,101,43,-71,79,90,33,4,52,3,168,161,164.5,7,Van Fossen & Kent (1990)
48,A1.048,134,31,-111,62,116,10,340,20,5,169,163,166,6,May et al. (1986)
49,A1.049,132,43,-111,68,145,34,334,54,0,168,161,164.5,9,McCabe et al. (1982)
50,A1.050,133,39,-110,60,84,10,353,19,2,200,147,173.5,16,Johnson (1976)
51,A1.051,101,50,-63,76,85,38,9,57,3,181,164,172.5,1,Larochelle (1971)
52,A1.052,101,42,-74,65,103,17,1,31,4,171,168,169.5,1,Smith & Noltimier (1979)
53,A1.053,101,48,-68,73,89,32,8,51,5,185,175,180,11,Hodych & Hayatsu (1988)
54,A1.054,101,42,-73,67,94,19,5,35,5,184,174,179,8,Prevot & McWilliams (1989)
55,A1.055,101,44,-77,76,-14,49,19,66,0,200,170,185,3,Barnett et al. (1984)
56,A1.056,101,41,-74,63,90,15,7,28,5,200,170,185,2,McIntosh et al. (1985)
57,A1.057,101,41,-75,63,108,14,359,27,4,200,170,185,4,Opdyke (1961)
58,A1.058,134,32,-111,74,80,16,357,30,3,200,170,185,8,Kluger-Cohen et al. (1986)
59,A1.059,101,42,-73,65,87,18,9,33,4,200,170,185,11,De Boer (1968)
60,A1.060,109,34,-82,66,86,10,5,20,5,198,171,184.5,3,Dooley & Smith (1982)
61,A1.061,101,42,-74,63,83,17,11,31,4,191,181,186,2,Smith & Noltimier (1979)
62,A1.062,133,38,-110,61,83,10,354,19,4,192,183,187.5,10,Johnson & Nairn (1972)
63,A1.063,133,39,-110,62,75,11,358,21,5,192,183,187.5,7,Steiner & Helsley (1974)
64,A1.064,108,45,-65,67,69,27,18,46,6,200,175,187.5,11,Hodych & Hayatsu (1988)
65,A1.065,101,41,-75,62,91,14,7,26,4,217,190,203.5,3,McIntosh et al. (1985)
66,A1.066,133,37,-112,58,52,6,8,12,6,200,187,193.5,5,Ekstrand & Butler (1989)
67,A1.067,109,36,-80,62,55,15,20,27,5,206,170,188,8,Smith (1987)
68,A1.068,132,40,-113,59,63,9,2,18,4,197,190,193.5,8,Reeve (1975)
69,A1.069,101,40,-77,62,105,12,359,23,4,202,180,191,2,Beck (1972a)
70,A1.070,101,45,-73,55,88,11,11,22,3,200,173,186.5,11,Irving & Banks (1961)
71,A1.071,101,41,-75,55,95,6,6,13,5,200,197,198.5,5,Witte & Kent (1990)
72,A1.072,101,41,-75,51,49,14,33,27,5,217,192,204.5,13,Van Fossen et al. (1986)
73,A1.073,101,52,-68,60,89,24,12,41,4,217,198,207.5,5,Irving et al. (1976b: 8.135)
74,A1.074,101,41,-75,62,115,13,355,25,4,217,192,204.5,11,Van Fossen et al. (1986)
75,A1.075,132,40,-113,61,64,11,1,21,6,212,200,206,4,Reeve (1975)
76,A1.076,101,35,-104,58,79,3,358,6,6,212,200,206,4,Reeve & Helsley (1972)
77,A1.077,101,41,-75,54,102,5,2,10,6,229,200,214.5,5,Witte & Kent (1989)
78,A1.078,101,41,-74,49,89,1,11,2,4,229,200,214.5,5,McIntosh et al. (1985)
79,A1.079,131,39,-118,73,54,22,3,39,0,229,200,214.5,11,Kluger-Cohen et al. (1986)
80,A1.080,108,46,-64,45,97,3,13,5,7,237,200,218.5,7,Symons et al. (1989)
81,A1.081,101,44,-71,48,92,3,11,6,4,227,205,216,4,Fang & Van der Voo (1988)
82,A1.082,133,35,-107,61,89,7,352,14,7,224,217,220.5,3,Molina et al. (1991)
83,A1.083,133,42,-109,56,96,10,346,20,3,246,212,229,14,Van der Voo & Grubbs (1977)
84,A1.084,101,43,-71,48,99,1,7,3,6,234,215,224.5,3,Fang & Van der Voo (1988)
85,A1.085,101,35,-105,58,100,5,347,11,7,246,229,237.5,3,Molina et al. (1991)
86,A1.086,133,40,-107,60,102,13,346,24,4,286,202,244,9,McMahon & Strangway (1968)
87,A1.087,133,39,-109,57,98,9,346,17,5,251,237,244,5,Helsley (1969)
88,A1.088,133,39,-109,55,103,8,342,16,5,251,237,244,3,Helsley & Steiner (1974)
89,A1.089,133,39,-109,57,100,9,344,18,5,251,237,244,6,Baag & Helsley (1974)
90,A1.090,133,36,-112,58,101,8,343,16,7,251,237,244,2,Purucker et al. (1980)
91,A1.091,133,43,-110,51,105,9,339,17,4,251,213,232,4,Grubbs & Van der Voo (1976)
92,A1.092,133,42,-109,49,105,6,338,11,6,246,229,237.5,5,Van der Voo & Grubbs (1977)
93,A1.093,133,42,-109,46,121,9,327,17,5,251,241,246,7,Van der Voo & Grubbs (1977)
94,A1.094,133,43,-109,47,114,8,332,15,6,251,229,240,2,Shive et al. (1984)
95,A1.095,133,43,-109,45,115,6,330,13,6,251,229,240,4,Herrero-B. & Helsley (1983)
96,A1.096,108,46,-64,51,111,7,3,14,4,257,251,254,0,Larochelle (1967)
97,A1.097,101,35,-104,55,119,7,337,14,4,266,251,258.5,15,Peterson & Nairn (1971)
98,A1.098,133,35,-107,53,112,4,338,9,4,271,251,261,8,Molina et al. (1991)
99,A1.099,101,35,-104,51,125,6,331,12,5,276,266,271,5,Peterson & Nairn (1971)
100,A1.100,101,35,-101,51,126,5,332,11,6,268,251,259.5,5,Molina-Garza et al. (1989)
101,A1.101,133,37,-110,50,121,8,330,16,2,293,251,272,7,Farrell & May (1969)
102,A1.102,101,42,-73,35,126,-11,344,-21,0,272,270,271,10,De Boer & Brookins (1972)
103,A1.103,106,81,-82,48,159,43,307,62,0,299,276,287.5,4,Wynne et al. (1983)
104,A1.104,133,35,-113,55,117,10,334,19,3,299,276,287.5,10,Peterson & Nairn (1971)
105,A1.105,133,38,-110,44,120,4,326,7,4,299,276,287.5,5,Gose & Helsley (1972)
106,A1.106,101,41,-105,46,122,7,329,13,5,299,276,287.5,2,Diehl & Shive (1979)
107,A1.107,133,38,-109,44,118,2,328,5,5,299,276,287.5,0,Reynolds et al. (1985)
108,A1.108,133,39,-110,43,122,5,325,9,4,299,276,287.5,6,Helsley (1971)
109,A1.109,133,38,-110,44,116,2,329,4,4,299,276,287.5,2,Gose & Helsley (1972)
110,A1.110,101,40,-105,48,119,6,332,12,4,299,276,287.5,13,McMahon & Strangway (1968)
111,A1.111,101,40,-106,43,115,1,331,2,5,299,276,287.5,3,Miller & Opdyke (1985)
112,A1.112,101,36,-97,52,119,3,339,7,3,299,276,287.5,5,Peterson & Nairn (1971)
113,A1.113,101,42,-105,51,123,12,331,23,5,299,276,287.5,2,Diehl & Shive (1981)
114,A1.114,101,35,-106,50,118,3,333,7,5,299,276,287.5,2,Steiner (1988)
115,A1.115,101,35,-104,41,118,-5,330,-9,0,299,276,287.5,11,Peterson & Nairn (1971)
116,A1.116,101,40,-77,49,115,0,352,-1,5,299,251,275,0,Scotese (1985)
117,A1.117,101,41,-77,51,118,3,351,6,5,299,251,275,5,Kent & Opdyke (1985)
118,A1.118,108,47,-63,42,126,-1,353,-1,7,303,276,289.5,3,Symons (1990)
119,A1.119,101,35,-102,42,132,1,323,3,5,303,284,293.5,2,Steiner (1988)
120,A1.120,101,36,-81,34,126,-16,337,-29,3,300,291,295.5,16,Barton & Brown (1983)
121,A1.121,101,40,-81,44,123,-3,343,-7,5,303,294,298.5,5,Helsley (1965)
122,A1.122,101,42,-105,46,129,10,325,20,5,307,299,303,2,Diehl & Shive (1981)
123,A1.123,101,43,-87,37,131,-3,331,-6,5,308,303,305.5,8,Scotese (1985)
124,A1.124,101,41,-80,27,123,-19,338,-34,0,316,301,308.5,6,Payne et al. (1981)
125,A1.125,101,41,-80,36,124,-10,340,-19,4,316,301,308.5,4,Payne et al. (1981)
126,A1.126,133,35,-113,47,119,4,327,9,5,303,299,301,3,Steiner (1988)
127,A1.127,101,35,-82,39,121,-13,342,-25,3,318,271,294.5,10,Dooley (1983)
128,A1.128,108,47,-64,42,133,0,347,1,3,313,284,298.5,6,Roy (1966)
129,A1.129,108,47,-64,41,126,-2,352,-3,4,313,284,298.5,6,Black (1964)
130,A1.130,108,46,-64,41,132,-2,348,-4,3,313,299,306,4,Roy (1966)
131,A1.131,108,46,-66,39,125,-4,351,-9,3,314,301,307.5,10,Roy et al. (1968)
132,A1.132,108,48,-65,38,133,-3,346,-5,3,318,301,309.5,10,Roy (1966)
133,A1.133,108,46,-65,36,125,-8,352,-15,5,316,303,309.5,5,Roy (1969)
134,A1.134,108,46,-65,40,131,-3,348,-6,6,313,299,306,6,Scotese et al. (1984)
135,A1.135,101,48,-64,36,122,-6,355,-12,5,316,313,314.5,6,Roy (1977)
136,A1.136,108,46,-65,29,122,-15,354,-28,4,328,316,322,33,Scotese et al. (1984)
137,A1.137,101,48,-59,34,143,-6,342,-11,6,328,313,320.5,7,Murthy (1985)
138,A1.138,108,46,-66,21,135,-20,339,-37,4,321,313,317,10,Seguin et al. (1985)
139,A1.139,108,46,-67,36,136,-5,341,-11,5,326,318,322,6,Seguin & Fyffe (1986)
140,A1.140,101,49,-65,11,148,-23,324,-41,5,392,313,352.5,10,Seguin (1987; 1986)
141,A1.141,101,48,-64,36,122,-6,355,-12,4,316,313,314.5,6,Roy (1977)
142,A1.142,101,48,-65,36,124,-6,353,-11,7,322,316,319,5,DiVenere & Opdyke (1990)
143,A1.143,101,48,-65,34,118,-8,357,-16,5,337,316,326.5,7,Roy & Park (1969)
144,A1.144,101,48,-64,32,121,-10,356,-19,7,328,322,325,4,DiVenere & Opdyke (1990)
145,A1.145,109,35,-80,40,134,-9,334,-17,0,347,306,326.5,3,Barton & Brown (1983)
146,A1.146,108,45,-65,24,152,-13,326,-25,0,359,345,352,6,Spariosu et al. (1984)
147,A1.147,108,46,-65,36,122,-8,354,-15,5,337,318,327.5,3,Roy & Park (1974)
148,A1.148,101,41,-78,24,141,-16,323,-29,6,334,318,326,10,Kent (1988)
149,A1.149,101,41,-77,34,119,-14,346,-26,6,334,318,326,9,Kent & Opdyke (1985)
150,A1.150,101,49,-57,22,122,-19,1,-35,7,345,318,331.5,9,Irving & Strong (1984)
151,A1.151,108,46,-61,20,139,-22,340,-38,6,352,322,337,5,Johnson & Van der Voo (1989)
152,A1.152,101,48,-59,27,131,-14,351,-27,6,339,328,333.5,8,Murthy (1985)
153,A1.153,108,46,-65,36,137,-6,342,-11,5,345,328,336.5,6,Scotese et al. (1984)
154,A1.154,101,48,-59,29,140,-11,343,-21,5,354,345,349.5,7,Murthy (1985)
155,A1.155,108,46,-65,32,136,-10,342,-19,4,359,345,352,8,Scotese et al. (1984)
156,A1.156,108,47,-55,12,120,-31,6,-50,4,370,349,359.5,10,Irving & Strong (1985)
157,A1.157,101,41,-74,23,117,-25,349,-43,4,379,343,361,16,Miller & Kent (1989b)
158,A1.158,108,48,-55,27,124,-15,1,-28,5,392,345,368.5,10,Kent (1982)
159,A1.159,108,42,-71,23,126,-23,343,-40,3,392,359,375.5,10,Schutts et al. (1976)
160,A1.160,101,40,-78,26,124,-21,339,-37,3,392,359,375.5,16,Miller & Kent (1986a)
161,A1.161,101,41,-76,33,90,-15,12,-28,5,392,359,375.5,7,Miller & Kent (1986b)
162,A1.162,108,46,-63,32,109,-12,7,-22,3,398,343,370.5,24,Stearns & Van der Voo (1988)
163,A1.163,108,46,-63,35,76,-1,33,-2,4,398,359,378.5,4,Stearns & Van der Voo (1988)
164,A1.164,101,46,-71,28,77,-11,28,-20,6,392,359,375.5,7,Seguin et al. (1982)
165,A1.165,101,46,-68,24,87,-16,24,-31,0,398,343,370.5,7,Brown & Kelly (1980)
166,A1.166,108,49,-54,-47,105,-76,90,-83,2,411,330,370.5,6,"Murthy (1983a, b)"
167,A1.167,108,46,-67,29,82,-10,27,-19,5,411,359,385,11,Spariosu & Kent (1983)
168,A1.168,101,49,-64,16,112,-25,4,-43,3,417,343,380,15,Recalc. from Seguin (1986)
169,A1.169,108,45,-67,24,114,-21,359,-38,5,423,343,383,9,Kent & Opdyke (1980)
170,A1.170,108,45,-67,20,129,-23,344,-41,5,423,343,383,6,Kent & Opdyke (1980)
171,A1.171,101,74,-98,25,99,10,344,19,5,423,343,383,9,Dankers (1982)
172,A1.172,108,45,-68,2,95,-41,23,-60,3,417,402,409.5,17,Miller & Kent (1989b)
173,A1.173,101,48,-66,1,88,-36,33,-56,3,423,407,415,7,Seguin & Gahe (1985)
174,A1.174,101,74,-98,1,91,-15,351,-28,4,423,392,407.5,10,Dankers (1982)
175,A1.175,101,41,-76,13,105,-36,359,-55,4,423,392,407.5,9,Miller & Kent (1988)
176,A1.176,101,40,-78,31,117,-18,347,-32,0,423,416,419.5,9,Kent (1988)
177,A1.177,101,41,-77,33,103,-16,0,-30,0,423,416,419.5,7,Kent (1988)
178,A1.178,101,40,-80,19,129,-25,330,-43,6,428,419,423.5,6,French & Van der Voo (1979)
179,A1.179,101,41,-86,17,125,-25,327,-43,7,428,419,423.5,5,McCabe et al. (1985)
180,A1.180,101,41,-75,35,126,-12,343,-22,1,458,420,439,20,Proko & Hargraves (1973)
181,A1.181,101,34,-85,28,142,-14,318,-26,4,451,428,439.5,7,Morrison & Ellwood (1986)
182,A1.182,101,50,-63,19,129,-20,348,-36,5,451,428,439.5,18,Seguin & Petryk (1986)
183,A1.183,101,45,-79,31,102,-14,359,-26,0,453,449,451,11,Dunlop & Stirling (1985)
184,A1.184,101,40,-78,21,105,-29,357,-48,5,461,444,452.5,13,Miller & Kent (1989a)
185,A1.185,101,40,-78,19,128,-26,332,-45,4,461,444,452.5,21,Miller & Kent (1989a)
186,A1.186,101,40,-78,32,114,-17,349,-32,0,461,444,452.5,5,Van der Voo & French (1977)
187,A1.187,101,49,-59,23,139,-16,343,-30,2,476,420,448,13,Murthy & Rao (1976)
188,A1.188,101,36,-84,27,112,-25,344,-43,0,466,451,458.5,15,Watts & Van der Voo (1979)
189,A1.189,101,41,-76,36,160,3,318,5,0,466,451,458.5,14,Hower (1979)
190,A1.190,101,36,-84,33,147,-6,319,-12,6,466,451,458.5,6,Watts & Van der Voo (1979)
191,A1.191,101,46,-73,6,-169,0,278,0,3,466,451,458.5,19,Seguin (1977)
192,A1.192,101,49,-59,11,142,-27,337,-46,4,466,444,455,11,Hodych (1989)
193,A1.193,101,49,-59,15,156,-19,324,-34,4,466,444,455,10,Hall & Evans (1988)
194,A1.194,101,49,-59,13,149,-23,330,-41,3,466,444,455,5,Deutsch & Prasad (1987)
195,A1.195,101,49,-59,21,138,-18,343,-34,3,488,444,466,7,Beaubouef et al. (1990)
196,A1.196,101,49,-59,18,152,-18,329,-32,4,488,444,466,9,Deutsch & Prasad (1987)
197,A1.197,101,44,-92,10,166,-2,286,-3,6,488,466,477,12,Jackson & Van der Voo (1985)
198,A1.198,101,46,-75,-3,123,-44,334,-63,0,494,473,483.5,7,Dankers & Lapointe (1981)
199,A1.199,133,39,-109,37,102,-9,335,-17,0,496,470,483,9,Larson et al. (1985)
200,A1.200,101,44,-76,20,-163,16,283,30,2,542,445,493.5,11,Park & Irving (1972)
201,A1.201,101,44,-76,-5,130,-45,322,-63,2,542,445,493.5,22,Park & Irving (1972)
202,A1.202,101,34,-97,13,157,-6,290,-11,6,503,488,495.5,4,Nick & Elmore (1990)
203,A1.203,101,38,-91,1,168,-8,278,-16,0,506,488,497,0,Van der Voo et al. (1976b)
204,A1.204,101,31,-99,6,159,-7,281,-14,5,506,488,497,5,Van der Voo et al. (1976b)
205,A1.205,101,40,-91,-4,176,-5,269,-10,5,506,488,497,7,Dunn & Elmore (1985)
206,A1.206,101,31,-98,27,146,-6,306,-11,0,506,488,497,10,Watts et al. (1980b)
207,A1.207,101,31,-99,33,140,-5,314,-10,0,506,488,497,8,Watts et al. (1980b)
208,A1.208,101,31,-98,24,151,-4,301,-8,0,506,488,497,4,Watts et al. (1980b)
209,A1.209,101,31,-98,11,158,-6,287,-12,5,506,488,497,10,Loucks & Elmore (1986)
210,A1.210,101,46,-74,46,149,9,331,18,0,506,488,497,5,Seguin et al. (1981)
211,A1.211,101,46,-74,37,156,4,322,9,0,506,488,497,5,Seguin et al. (1981)
212,A1.212,101,31,-99,34,145,-1,312,-3,0,524,506,515,4,Watts et al. (1980b)
213,A1.213,101,35,-99,4,164,-3,277,-7,2,536,503,519.5,18,Spall (1968; 1970)
214,A1.214,101,38,-105,18,142,-6,298,-12,3,524,513,518.5,0,Lynnes & Van der Voo (1984)
215,A1.215,101,39,-106,15,142,-7,296,-13,4,674,475,574.5,10,French et al. (1977)
216,A1.216,101,39,-105,5,174,10,268,20,3,674,475,574.5,8,French et al. (1977)
217,A1.217,101,39,-106,48,107,2,339,4,2,674,475,574.5,15,French et al. (1977)
218,A1.218,101,50,-67,20,141,-16,333,-29,6,537,511,524,8,Tanczyk et al. (1987)
219,A1.219,101,38,-81,36,150,-2,321,-5,0,524,506,515,10,Watts et al. (1980a)
220,A1.220,101,46,-82,10,138,-24,316,-41,2,542,493,517.5,0,Palmer et al. (1977)
221,A1.221,133,36,-112,5,158,3,355,-12,5,542,524,533,3,Elston & Bressler (1977)
222,A1.222,101,51,-56,29,167,-1,353,-11,4,542,524,533,5,Rao & Deutsch(1976)
223,A1.223,101,37,-82,0,178,-8,357,-16,4,542,533,537.5,14,Brown & Van der Voo (1982)
224,A1.224,101,46,-75,6,154,-22,356,-19,3,577,525,551,14,Dankers & Lapointe (1981)
225,A1.225,101,46,-75,1,173,-14,334,-17,5,577,525,551,6,Dankers & Lapointe (1981)
226,A1.226,101,46,-75,-10,-174,-13,326,-25,4,577,525,551,13,Dankers & Lapointe (1981)
227,A10.1.001,615,15,107,86,-47,11,354,-15,5,7,0,3.5,5,Giang Nguyen (1982)
228,A10.1.002,615,14,107,85,-53,9,323,-29,4,2,0,1,0,Lacombe & Roche (1970)
229,A10.1.003,615,15,103,86,171,16,346,-26,6,12,0,6,5,McCabe et al. (1988)
230,A10.1.004,615,15,101,66,-170,14,1,-35,5,12,0,6,7,McCabe et al. (1988)
231,A10.1.005,616,18,100,71,-167,16,340,-38,2,7,5,6,5,Barr & MacDonald (1979)
232,A10.1.006,615,16,103,59,175,23,351,-27,0,192,1,96.5,8,Chen Yan & Courtillot (1989)
233,A10.1.007,616,17,100,79,176,19,342,-11,0,146,66,106,43,Bunopas (1982)
234,A10.1.008,616,17,100,80,111,27,343,-21,1,176,146,161,26,Barr et al. (1978)
235,A10.1.009,616,17,100,67,177,21,342,-19,2,176,146,161,14,Bunopas (1982)
236,A10.1.010,616,17,100,57,-172,15,6,-50,0,229,100,164.5,9,Maranate & Vella (1986)
237,A10.1.011,615,17,101,69,177,21,349,-43,0,205,146,175.5,12,Haile & Tarling (1975)
238,A10.1.012,616,17,100,43,-158,3,1,-28,2,205,146,175.5,15,Bunopas & Pitakpaivan (1978)
239,A10.1.013,616,17,100,53,180,19,343,-40,2,200,176,188,9,Bunopas (1982)
240,A10.1.014,616,17,100,60,-175,17,339,-37,0,229,176,202.5,18,Bunopas (1982)
241,A10.1.015,616,18,100,56,176,23,12,-28,0,249,177,213,12,Barr et al. (1978)
242,A10.1.016,615,17,102,49,172,26,7,-22,0,217,211,214,8,Achache & Courtillot (1985)
243,A10.2.017,616,3,99,85,-177,4,33,-2,5,1,0,0.5,5,Yokoyama & Dharma (1982)
244,A10.2.018,619,-4,103,79,-43,-13,28,-20,3,4,1,2.5,54,Haile et al. (1983)
245,A10.2.019,616,6,95,56,-170,2,24,-31,2,34,22,28,12,Haile (1979b)
246,A10.2.020,619,-4,103,84,130,1,90,-83,3,64,1,32.5,10,Sasajima et al. (1978)
247,A10.2.021,616,5,95,82,-177,5,27,-19,1,66,22,44,6,Haile (1979b)
248,A10.2.022,619,3,103,44,35,18,4,-43,3,110,60,85,9,McElhinny et al. (1974b)
249,A10.2.023,619,-4,103,52,51,19,329,34,3,134,74,104,6,Haile et al. (1983)
250,A10.2.024,619,4,103,71,41,13,344,-41,2,161,100,130.5,8,Haile & Khoo Han Peng (1980)
251,A10.2.025,616,-1,101,49,-151,-12,344,19,2,229,200,214.5,7,Haile (1979b)
252,A10.2.026,616,2,99,55,-147,-12,23,-60,2,251,200,225.5,32,Sasajima et al. (1978)
253,A10.2.027,611,24,102,35,-18,-8,33,-56,3,251,246,248.5,7,Chan et al. (1984)
254,A10.2.028,619,1,104,-57,-28,-22,351,-28,2,271,246,258.5,10,McElhinny et al. (1974b)
255,A10.2.029,616,-1,101,47,-2,-10,359,-55,1,299,251,275,5,Sasajima et al. (1978)
256,A10.2.030,619,1,104,-72,55,11,347,-32,1,485,246,365.5,19,McElhinny et al. (1974b)
257,A10.2.031,616,3,101,-55,-16,-18,0,-30,1,318,271,294.5,11,McElhinny et al. (1974b)
258,A10.2.032,616,25,99,17,-102,-43,330,-43,5,307,290,298.5,9,Huang & Opdyke (1991)
259,A10.2.033,616,25,99,-34,-130,-47,327,-43,4,307,290,298.5,12,Huang & Opdyke (1991)
260,A10.2.034,616,5,101,-57,2,-9,343,-22,2,359,318,338.5,11,McElhinny et al. (1974b)
261,A10.2.035,616,25,99,-67,-46,-43,318,-26,5,416,359,387.5,6,Fang et al. (1989)
262,A10.2.036,616,6,100,-17,-101,-67,348,-36,2,423,416,419.5,20,Haile (1980)
263,A10.2.037,616,6,100,-49,-102,-43,359,-26,2,488,444,466,12,Haile (1980)
264,A10.3.038,611,36,129,69,-169,43,357,-48,5,92,64,78,8,Otofuji et al. (1983)
265,A10.3.039,604,39,126,69,-178,48,332,-45,4,100,66,83,4,Gurariy et al. (1966)
266,A10.3.040,611,36,129,64,-165,42,349,-32,4,146,64,105,6,Otofuji et al. (1986)
267,A10.3.041,611,36,129,74,-138,34,343,-30,3,146,64,105,10,Kienzle & Scharon (1966)
268,A10.3.042,611,36,128,87,-174,38,344,-43,2,127,69,98,8,Ito & Tokeida (1980)
269,A10.3.043,604,37,128,76,-177,44,318,5,4,146,100,123,3,Kang & Li (1977)
270,A10.3.044,611,36,129,68,-155,38,319,-12,7,133,110,121.5,5,Lee et al. (1987)
271,A10.3.045,604,37,128,63,174,52,278,0,3,169,146,157.5,9,Kang & Li (1977)
272,A10.3.046,611,36,128,69,25,29,337,-46,4,181,127,154,11,Kim & Van der Voo (1990)
273,A10.3.047,611,36,127,63,176,50,324,-34,3,169,136,152.5,9,Kim & Van der Voo (1990)
274,A10.3.048,604,38,127,54,-147,32,330,-41,3,195,157,176,17,Kim & Van der Voo (1990)
275,A10.3.049,604,37,127,48,34,25,343,-34,1,200,146,173,16,Otofuji et al. (1986)
276,A10.3.050,604,38,128,34,-144,22,329,-32,3,251,200,225.5,15,Kim & Van der Voo (1990)
277,A10.3.051,604,37,128,60,30,28,286,-3,2,251,200,225.5,12,Otofuji et al. (1986)
278,A10.3.052,604,37,129,11,-174,33,334,-63,1,251,200,225.5,29,Shibuya et al. (1988)
279,A10.3.053,604,37,128,55,2,13,335,-17,2,299,251,275,13,Otofuji et al. (1986)
280,A10.3.054,604,37,129,40,-127,14,283,30,1,299,251,275,4,Shibuya et al. (1988)
281,A10.3.055,604,37,129,2,-144,4,322,-63,1,359,299,329,0,Shibuya et al. (1988)
282,A10.3.056,604,39,126,8,-47,-43,290,-11,2,524,506,515,5,Gurariy et al. (1966)
